n,lang,test,time
10000,c,testCmp,0.000019
10000,java,testCmp,0.000713
10000,js,testCmp,0.266486
10000,php,testCmp,0.00024104118347168
10000,py,testCmp,0.0004444122314453125
10000,c,testDiv,0.000010
10000,java,testDiv,0.000733
10000,js,testDiv,0.273396
10000,php,testDiv,0.00024700164794922
10000,py,testDiv,0.00042057037353515625
10000,c,testMinus,0.000010
10000,java,testMinus,0.000618
10000,js,testMinus,0.004638
10000,php,testMinus,0.00023818016052246
10000,py,testMinus,0.00042629241943359375
10000,c,testProd,0.000047
10000,java,testProd,0.000724
10000,js,testProd,0.721018
10000,php,testProd,0.00022602081298828
10000,py,testProd,0.0004971027374267578
10000,c,testSum,0.000012
10000,java,testSum,0.000737
10000,js,testSum,0.565076
10000,php,testSum,0.00025200843811035
10000,py,testSum,0.0008165836334228516
15000,c,testCmp,0.000035
15000,java,testCmp,0.000606
15000,js,testCmp,0.398248
15000,php,testCmp,0.00036501884460449
15000,py,testCmp,0.0006310939788818359
15000,c,testDiv,0.000022
15000,java,testDiv,0.000482
15000,js,testDiv,0.323481
15000,php,testDiv,0.00037193298339844
15000,py,testDiv,0.0007033348083496094
15000,c,testMinus,0.000017
15000,java,testMinus,0.000705
15000,js,testMinus,0.00314
15000,php,testMinus,0.00037193298339844
15000,py,testMinus,0.0006508827209472656
15000,c,testProd,0.000014
15000,java,testProd,0.000496
15000,js,testProd,0.353269
15000,php,testProd,0.00037813186645508
15000,py,testProd,0.0006804466247558594
15000,c,testSum,0.000015
15000,java,testSum,0.000536
15000,js,testSum,0.636531
15000,php,testSum,0.00034594535827637
15000,py,testSum,0.0006158351898193359
20000,c,testCmp,0.000018
20000,java,testCmp,0.000906
20000,js,testCmp,0.446574
20000,php,testCmp,0.00049591064453125
20000,py,testCmp,0.0008471012115478516
20000,c,testDiv,0.000020
20000,java,testDiv,0.000757
20000,js,testDiv,0.444003
20000,php,testDiv,0.00083112716674805
20000,py,testDiv,0.0008146762847900391
20000,c,testMinus,0.000018
20000,java,testMinus,0.001747
20000,js,testMinus,0.004574
20000,php,testMinus,0.00047087669372559
20000,py,testMinus,0.0007436275482177734
20000,c,testProd,0.000019
20000,java,testProd,0.001102
20000,js,testProd,0.528043
20000,php,testProd,0.00045084953308105
20000,py,testProd,0.000823974609375
20000,c,testSum,0.000020
20000,java,testSum,0.000761
20000,js,testSum,0.43379
20000,php,testSum,0.00044488906860352
20000,py,testSum,0.0007817745208740234
25000,c,testCmp,0.000022
25000,java,testCmp,0.001385
25000,js,testCmp,0.752868
25000,php,testCmp,0.0006248950958252
25000,py,testCmp,0.0010156631469726562
25000,c,testDiv,0.000026
25000,java,testDiv,0.001111
25000,js,testDiv,0.711048
25000,php,testDiv,0.00062918663024902
25000,py,testDiv,0.0009481906890869141
25000,c,testMinus,0.000023
25000,java,testMinus,0.000970
25000,js,testMinus,0.003049
25000,php,testMinus,0.00059318542480469
25000,py,testMinus,0.0009319782257080078
25000,c,testProd,0.000026
25000,java,testProd,0.000927
25000,js,testProd,0.589888
25000,php,testProd,0.00056004524230957
25000,py,testProd,0.0009403228759765625
25000,c,testSum,0.000023
25000,java,testSum,0.001095
25000,js,testSum,0.574308
25000,php,testSum,0.0005800724029541
25000,py,testSum,0.001020193099975586
30000,c,testCmp,0.000028
30000,java,testCmp,0.001620
30000,js,testCmp,1.016108
30000,php,testCmp,0.00075602531433105
30000,py,testCmp,0.0012292861938476562
30000,c,testDiv,0.000029
30000,java,testDiv,0.002862
30000,js,testDiv,0.59587
30000,php,testDiv,0.00074505805969238
30000,py,testDiv,0.0011286735534667969
30000,c,testMinus,0.000027
30000,java,testMinus,0.001281
30000,js,testMinus,0.003287
30000,php,testMinus,0.00076508522033691
30000,py,testMinus,0.0012507438659667969
30000,c,testProd,0.000027
30000,java,testProd,0.001428
30000,js,testProd,1.181647
30000,php,testProd,0.00066995620727539
30000,py,testProd,0.0011467933654785156
30000,c,testSum,0.000027
30000,java,testSum,0.001285
30000,js,testSum,0.577207
30000,php,testSum,0.0006561279296875
30000,py,testSum,0.0012526512145996094
35000,c,testCmp,0.000044
35000,java,testCmp,0.002010
35000,js,testCmp,0.812641
35000,php,testCmp,0.00085806846618652
35000,py,testCmp,0.0014083385467529297
35000,c,testDiv,0.000032
35000,java,testDiv,0.001602
35000,js,testDiv,0.800689
35000,php,testDiv,0.00092697143554688
35000,py,testDiv,0.00157928466796875
35000,c,testMinus,0.000037
35000,java,testMinus,0.001567
35000,js,testMinus,0.003413
35000,php,testMinus,0.00076603889465332
35000,py,testMinus,0.0014293193817138672
35000,c,testProd,0.000037
35000,java,testProd,0.001671
35000,js,testProd,0.830608
35000,php,testProd,0.00079894065856934
35000,py,testProd,0.0014538764953613281
35000,c,testSum,0.000034
35000,java,testSum,0.001688
35000,js,testSum,1.205389
