n,lang,test,time
10000,c,testCat,0.000168
10000,js,testCat,0.348231
10000,php,testCat,0.00036501884460449
10000,py,testCat,0.0006690025329589844
10000,c,testCmp,0.000022
10000,java,testCmp,0.001000
10000,js,testCmp,0.256052
10000,php,testCmp,0.00027799606323242
10000,py,testCmp,0.0003898143768310547
10000,c,testCpy,0.000089
10000,java,testCpy,0.000293
10000,js,testCpy,0.309708
10000,php,testCpy,0.00037813186645508
10000,py,testCpy,0.00014281272888183594
10000,c,testLen,0.000034
10000,java,testLen,0.000856
10000,js,testLen,0.286709
10000,php,testLen,0.00041007995605469
10000,py,testLen,0.00040650367736816406
15000,c,testCat,0.000170
15000,java,testCat,0.032773
15000,js,testCat,0.671529
15000,php,testCat,0.00057315826416016
15000,py,testCat,0.0009341239929199219
15000,c,testCmp,0.000031
15000,java,testCmp,0.001116
15000,js,testCmp,0.365256
15000,php,testCmp,0.00040483474731445
15000,py,testCmp,0.0005629062652587891
15000,c,testCpy,0.000151
15000,java,testCpy,0.000415
15000,js,testCpy,0.43367
15000,php,testCpy,0.00055098533630371
15000,py,testCpy,0.0002155303955078125
15000,c,testLen,0.000051
15000,java,testLen,0.001029
15000,js,testLen,0.585923
15000,php,testLen,0.00063300132751465
15000,py,testLen,0.0005295276641845703
20000,c,testCat,0.000129
20000,java,testCat,0.037575
20000,js,testCat,1.003324
20000,php,testCat,0.00071310997009277
20000,py,testCat,0.0011310577392578125
20000,c,testCmp,0.000043
20000,java,testCmp,0.000924
20000,js,testCmp,0.46871
20000,php,testCmp,0.00054311752319336
20000,py,testCmp,0.0007195472717285156
20000,c,testCpy,0.000172
20000,java,testCpy,0.000600
20000,js,testCpy,0.448442
20000,php,testCpy,0.00073909759521484
20000,py,testCpy,0.00031375885009765625
20000,c,testLen,0.000068
20000,java,testLen,0.000954
20000,js,testLen,0.396918
20000,php,testLen,0.00081992149353027
20000,py,testLen,0.0006964206695556641
25000,c,testCat,0.000148
25000,java,testCat,0.026593
25000,js,testCat,1.005781
25000,php,testCat,0.0012052059173584
25000,py,testCat,0.001422882080078125
25000,c,testCmp,0.000051
25000,java,testCmp,0.001850
25000,js,testCmp,0.492811
25000,php,testCmp,0.0007779598236084
25000,py,testCmp,0.0013706684112548828
25000,c,testCpy,0.000215
25000,java,testCpy,0.000704
25000,js,testCpy,0.564203
25000,php,testCpy,0.00093197822570801
25000,py,testCpy,0.0003039836883544922
25000,c,testLen,0.000077
25000,java,testLen,0.003151
25000,js,testLen,0.447735
25000,php,testLen,0.0010080337524414
25000,py,testLen,0.0008237361907958984
30000,c,testCat,0.000205
30000,java,testCat,0.025824
30000,js,testCat,0.879832
30000,php,testCat,0.0011410713195801
30000,py,testCat,0.0018377304077148438
30000,c,testCmp,0.000060
30000,java,testCmp,0.002310
30000,js,testCmp,0.599712
30000,php,testCmp,0.00078606605529785
30000,py,testCmp,0.001024484634399414
30000,c,testCpy,0.000269
30000,java,testCpy,0.000988
30000,js,testCpy,0.610252
30000,php,testCpy,0.0011100769042969
30000,py,testCpy,0.0003643035888671875
30000,c,testLen,0.000092
30000,java,testLen,0.001493
30000,js,testLen,0.50711
30000,php,testLen,0.0012340545654297
30000,py,testLen,0.0010335445404052734
35000,c,testCat,0.000328
35000,java,testCat,0.028649
35000,js,testCat,1.068496
35000,php,testCat,0.0011978149414062
35000,py,testCat,0.002342700958251953
35000,c,testCmp,0.000071
35000,java,testCmp,0.002348
35000,js,testCmp,0.659556
35000,php,testCmp,0.0010020732879639
35000,py,testCmp,0.00118255615234375
35000,c,testCpy,0.000314
35000,java,testCpy,0.000977
35000,js,testCpy,0.755668
35000,php,testCpy,0.0013089179992676
35000,py,testCpy,0.0006113052368164062
35000,c,testLen,0.000132
35000,java,testLen,0.003051
35000,js,testLen,1.019477
35000,php,testLen,0.0014779567718506
35000,py,testLen,0.001836538314819336
40000,c,testCat,0.000246
40000,java,testCat,0.026478
40000,js,testCat,4.12905
40000,php,testCat,0.0017139911651611
40000,py,testCat,0.0026051998138427734
40000,c,testCmp,0.000080
40000,java,testCmp,0.002613
40000,js,testCmp,1.160937
40000,php,testCmp,0.0011141300201416
40000,py,testCmp,0.001428365707397461
40000,c,testCpy,0.000351
40000,java,testCpy,0.001175
40000,js,testCpy,0.885503
40000,php,testCpy,0.0019898414611816
40000,py,testCpy,0.0004999637603759766
40000,c,testLen,0.000134
40000,java,testLen,0.002374
40000,js,testLen,0.698763
40000,php,testLen,0.0017368793487549
40000,py,testLen,0.0013551712036132812
45000,c,testCat,0.000447
45000,java,testCat,0.026561
45000,js,testCat,1.343394
45000,php,testCat,0.0015881061553955
45000,py,testCat,0.002711057662963867
45000,c,testCmp,0.000092
45000,java,testCmp,0.003134
45000,js,testCmp,0.937717
45000,php,testCmp,0.0013988018035889
45000,py,testCmp,0.0017681121826171875
45000,c,testCpy,0.000368
45000,java,testCpy,0.001395
45000,js,testCpy,0.839953
45000,php,testCpy,0.0016770362854004
45000,py,testCpy,0.0006480216979980469
45000,c,testLen,0.000139
45000,java,testLen,0.002109
